Rk,Team,Conf,W-L,BPI Off,BPI Def,BPI,Year
292,Detroit,Horizon,23-Aug,-0.8,-6.2,-7.1,2017
293,The Citadel,Southern,21-Dec,0.1,-7.2,-7.1,2017
294,Seattle,WAC,13-17,-5.8,-1.3,-7.1,2017
295,Dartmouth,Ivy,20-Jul,-3.5,-3.6,-7.2,2017
296,Radford,Big South,14-18,-5.5,-1.7,-7.2,2017
297,Binghamton,Am. East,20-Dec,-4.1,-3.1,-7.2,2017
298,South Florida,American,23-Jul,-5.4,-1.9,-7.3,2017
299,UC Riverside,Big West,21-Jul,-7.1,-0.2,-7.4,2017
300,Norfolk St.,MEAC,17-17,-6.3,-1.2,-7.5,2017
301,Delaware,CAA,13-20,-4.8,-2.8,-7.6,2017
302,Sacred Heart,NEC,13-19,-4.5,-3.2,-7.6,2017
303,Austin Peay,Ohio Valley W,19-Nov,-0.1,-7.7,-7.8,2017
304,American,Patriot,22-Aug,-6,-2,-8,2017
305,Marist,MAAC,24-Aug,-2.3,-5.8,-8,2017
306,Prairie View,SWAC,13-20,-5.1,-3.1,-8.2,2017
307,Northwestern St.,Southland,13-16,-2.9,-5.4,-8.3,2017
308,Stetson,A-Sun,21-Nov,-2.2,-6.2,-8.4,2017
309,Pepperdine,WCC,22-Sep,-2.7,-5.7,-8.5,2017
310,Hampton,MEAC,14-17,-7.6,-1.1,-8.7,2017
311,Cal Poly,Big West,20-Nov,-3.1,-5.6,-8.7,2017
312,Abilene Christian,Southland,13-16,-5.3,-3.5,-8.8,2017
313,North Texas,C-USA,22-Aug,-5.9,-3,-8.9,2017
314,Southern,SWAC,15-18,-4.5,-4.6,-9.1,2017
315,UT Rio Grande Valley,WAC,22-Oct,-3.8,-5.5,-9.3,2017
316,UC Santa Barbara,Big West,22-Jun,-7,-2.4,-9.4,2017
317,Jackson St.,SWAC,14-18,-7.5,-2,-9.5,2017
318,Incarnate Word,Southland,17-Dec,-2.9,-6.6,-9.5,2017
319,Central Arkansas,Southland,24-Aug,-1.8,-7.7,-9.5,2017
320,Maryland-Eastern Shore,MEAC,14-20,-4.4,-5.2,-9.6,2017
321,Nicholls St.,Southland,14-17,-4.9,-4.8,-9.7,2017
322,Grambling St.,SWAC,16-17,-6.3,-4,-10.3,2017
323,Savannah St.,MEAC,13-16,-4,-6.4,-10.3,2017
324,Morgan St.,MEAC,14-16,-8.8,-1.7,-10.4,2017
325,VMI,Southern,24-Jun,-5.1,-5.3,-10.4,2017
326,SIU-Edwardsville,Ohio Valley W,24-Jun,-7.5,-3,-10.4,2017
327,Southern Utah,Big Sky,27-Jun,-2,-8.5,-10.5,2017
328,Idaho St.,Big Sky,26-May,-4.3,-6.5,-10.8,2017
329,Southern Miss,C-USA,22-Sep,-8.5,-2.4,-10.9,2017
330,Lafayette,Patriot,21-Sep,-5.2,-5.7,-10.9,2017
331,Hartford,Am. East,23-Sep,-7.6,-3.5,-11.1,2017
332,Northern Arizona,Big Sky,23-Sep,-6,-5.1,-11.1,2017
333,Maine,Am. East,25-Jul,-7.8,-3.5,-11.2,2017
334,Western Carolina,Southern,23-Sep,-10.6,-0.7,-11.4,2017
335,McNeese St.,Southland,22-Jul,-6.2,-5.5,-11.7,2017
336,Alabama St.,SWAC,23-Aug,-7.7,-4.1,-11.9,2017
337,Delaware St.,MEAC,22-Oct,-6.4,-5.7,-12.1,2017
338,Howard,MEAC,24-Oct,-9.5,-3.3,-12.8,2017
339,Central Connecticut,NEC,23-Jun,-7.8,-5.5,-13.3,2017
340,Mississippi Valley St.,SWAC,25-Jul,-6,-7.7,-13.6,2017
341,Bethune-Cookman,MEAC,22-Oct,-6.8,-7,-13.8,2017
342,South Carolina St.,MEAC,20-Nov,-4.9,-9.2,-14.1,2017
343,Chicago St.,WAC,26-Jun,-8.5,-5.8,-14.3,2017
344,St. Francis BKN,NEC,27-Apr,-11.1,-3.4,-14.4,2017
345,Florida A&M,MEAC,23-Jul,-8.7,-6.2,-14.9,2017
346,Longwood,Big South,24-Jun,-7.2,-7.8,-15,2017
347,Arkansas Pine Bluff,SWAC,25-Jul,-12.6,-2.9,-15.5,2017
348,Coppin St.,MEAC,24-Aug,-9.1,-7.8,-16.9,2017
349,Presbyterian,Big South,25-May,-9.9,-7.4,-17.3,2017
350,North Carolina A&T,MEAC,29-Mar,-7.4,-10.2,-17.6,2017
351,Alabama A&M,SWAC,27-Feb,-8.6,-10.6,-19.2,2017
